date,value,name
2020-02-09,3,印度
2020-02-09,3,意大利
2020-02-09,25,日本
2020-02-09,16,马来西亚
2020-02-09,1,尼泊尔
2020-02-09,3,菲律宾
2020-02-09,2,俄罗斯联邦
2020-02-09,40,新加坡
2020-02-09,25,韩国
2020-02-09,1,西班牙
2020-02-09,1,斯里兰卡
2020-02-09,1,瑞典
2020-02-09,32,泰国
2020-02-09,7,阿联酋
2020-02-09,4,英国
2020-02-09,12,美国
2020-02-09,14,越南
2020-02-10,14,澳大利亚
2020-02-10,1,比利时
2020-02-10,1,柬埔寨
2020-02-10,7,加拿大
2020-02-10,1,芬兰
2020-02-10,11,法国
2020-02-10,13,德国
2020-02-10,3,印度
2020-02-10,3,意大利
2020-02-10,25,日本
2020-02-10,18,马来西亚
2020-02-10,1,尼泊尔
2020-02-10,3,菲律宾
2020-02-10,2,俄罗斯联邦
2020-02-10,43,新加坡
2020-02-10,27,韩国
2020-02-10,2,西班牙
2020-02-10,1,斯里兰卡
2020-02-10,1,瑞典
2020-02-10,32,泰国
2020-02-10,7,阿联酋
2020-02-10,4,英国
2020-02-10,12,美国
2020-02-10,14,越南
2020-02-11,14,澳大利亚
2020-02-11,1,比利时
2020-02-11,1,柬埔寨
2020-02-11,7,加拿大
2020-02-11,1,芬兰
2020-02-11,11,法国
2020-02-11,13,德国
2020-02-11,3,印度
2020-02-11,3,意大利
2020-02-11,25,日本
2020-02-11,18,马来西亚
2020-02-11,1,尼泊尔
2020-02-11,3,菲律宾
2020-02-11,2,俄罗斯联邦
2020-02-11,45,新加坡
2020-02-11,28,韩国
2020-02-11,2,西班牙
2020-02-11,1,斯里兰卡
2020-02-11,1,瑞典
2020-02-11,32,泰国
2020-02-11,8,阿联酋
2020-02-11,8,英国
2020-02-11,13,美国
2020-02-11,15,越南
2020-02-12,14,澳大利亚
2020-02-12,1,比利时
2020-02-12,1,柬埔寨
2020-02-12,7,加拿大
2020-02-12,1,芬兰
2020-02-12,11,法国
2020-02-12,15,德国
2020-02-12,3,印度
2020-02-12,3,意大利
2020-02-12,25,日本
2020-02-12,18,马来西亚
2020-02-12,1,尼泊尔
2020-02-12,3,菲律宾
2020-02-12,2,俄罗斯联邦
2020-02-12,47,新加坡
2020-02-12,28,韩国
2020-02-12,2,西班牙
2020-02-12,1,斯里兰卡
2020-02-12,1,瑞典
2020-02-12,33,泰国
2020-02-12,8,阿联酋
2020-02-12,8,英国
2020-02-12,13,美国
2020-02-12,15,越南
2020-02-13,14,澳大利亚
2020-02-13,1,比利时
2020-02-13,1,柬埔寨
2020-02-13,7,加拿大
2020-02-13,1,芬兰
2020-02-13,11,法国
2020-02-13,15,德国
2020-02-13,3,印度
2020-02-13,3,意大利
2020-02-13,29,日本
2020-02-13,18,马来西亚
2020-02-13,1,尼泊尔
2020-02-13,3,菲律宾
2020-02-13,2,俄罗斯联邦
2020-02-13,50,新加坡
2020-02-13,28,韩国
2020-02-13,2,西班牙
2020-02-13,1,斯里兰卡
2020-02-13,1,瑞典
2020-02-13,33,泰国
2020-02-13,8,阿联酋
2020-02-13,9,英国
2020-02-13,14,美国
2020-02-13,16,越南
2020-02-14,15,澳大利亚
2020-02-14,1,比利时
2020-02-14,1,柬埔寨
2020-02-14,7,加拿大
2020-02-14,1,芬兰
2020-02-14,11,法国
2020-02-14,15,德国
2020-02-14,3,印度
2020-02-14,3,意大利
2020-02-14,30,日本
2020-02-14,19,马来西亚
2020-02-14,1,尼泊尔
2020-02-14,3,菲律宾
2020-02-14,2,俄罗斯联邦
2020-02-14,58,新加坡
2020-02-14,28,韩国
2020-02-14,2,西班牙
2020-02-14,1,斯里兰卡
2020-02-14,1,瑞典
2020-02-14,33,泰国
2020-02-14,8,阿联酋
2020-02-14,9,英国
2020-02-14,15,美国
2020-02-14,16,越南
2020-02-15,15,澳大利亚
2020-02-15,1,比利时
2020-02-15,1,柬埔寨
2020-02-15,8,加拿大
2020-02-15,1,埃及
2020-02-15,1,芬兰
2020-02-15,11,法国
2020-02-15,15,德国
2020-02-15,3,印度
2020-02-15,3,意大利
2020-02-15,38,日本
2020-02-15,21,马来西亚
2020-02-15,1,尼泊尔
2020-02-15,3,菲律宾
2020-02-15,2,俄罗斯联邦
2020-02-15,67,新加坡
2020-02-15,28,韩国
2020-02-15,2,西班牙
2020-02-15,1,斯里兰卡
2020-02-15,1,瑞典
2020-02-15,34,泰国
2020-02-15,8,阿联酋
2020-02-15,9,英国
2020-02-15,15,美国
2020-02-15,16,越南
2020-02-16,15,澳大利亚
2020-02-16,1,比利时
2020-02-16,1,柬埔寨
2020-02-16,8,加拿大
2020-02-16,1,埃及
2020-02-16,1,芬兰
2020-02-16,11,法国
2020-02-16,15,德国
2020-02-16,3,印度
2020-02-16,3,意大利
2020-02-16,52,日本
2020-02-16,22,马来西亚
2020-02-16,1,尼泊尔
2020-02-16,3,菲律宾
2020-02-16,2,俄罗斯联邦
2020-02-16,72,新加坡
2020-02-16,29,韩国
2020-02-16,2,西班牙
2020-02-16,1,斯里兰卡
2020-02-16,1,瑞典
2020-02-16,34,泰国
2020-02-16,8,阿联酋
2020-02-16,9,英国
2020-02-16,15,美国
2020-02-16,16,越南
2020-02-17,15,澳大利亚
2020-02-17,1,比利时
2020-02-17,1,柬埔寨
2020-02-17,8,加拿大
2020-02-17,1,埃及
2020-02-17,1,芬兰
2020-02-17,12,法国
2020-02-17,15,德国
2020-02-17,3,印度
2020-02-17,3,意大利
2020-02-17,59,日本
2020-02-17,22,马来西亚
2020-02-17,1,尼泊尔
2020-02-17,3,菲律宾
2020-02-17,2,俄罗斯联邦
2020-02-17,75,新加坡
2020-02-17,30,韩国
2020-02-17,2,西班牙
2020-02-17,1,斯里兰卡
2020-02-17,1,瑞典
2020-02-17,34,泰国
2020-02-17,9,阿联酋
2020-02-17,9,英国
2020-02-17,15,美国
2020-02-17,16,越南
2020-02-18,15,澳大利亚
2020-02-18,1,比利时
2020-02-18,1,柬埔寨
2020-02-18,8,加拿大
2020-02-18,1,埃及
2020-02-18,1,芬兰
2020-02-18,12,法国
2020-02-18,15,德国
2020-02-18,3,印度
2020-02-18,3,意大利
2020-02-18,59,日本
2020-02-18,22,马来西亚
2020-02-18,1,尼泊尔
2020-02-18,3,菲律宾
2020-02-18,2,俄罗斯联邦
2020-02-18,77,新加坡
2020-02-18,31,韩国
2020-02-18,2,西班牙
2020-02-18,1,斯里兰卡
2020-02-18,1,瑞典
2020-02-18,35,泰国
2020-02-18,9,阿联酋
2020-02-18,9,英国
2020-02-18,15,美国
2020-02-18,16,越南
2020-02-19,15,澳大利亚
2020-02-19,1,比利时
2020-02-19,1,柬埔寨
2020-02-19,8,加拿大
2020-02-19,1,埃及
2020-02-19,1,芬兰
2020-02-19,12,法国
2020-02-19,15,德国
2020-02-19,3,印度
2020-02-19,3,意大利
2020-02-19,66,日本
2020-02-19,22,马来西亚
2020-02-19,1,尼泊尔
2020-02-19,3,菲律宾
2020-02-19,2,俄罗斯联邦
2020-02-19,81,新加坡
2020-02-19,46,韩国
2020-02-19,2,西班牙
2020-02-19,1,斯里兰卡
2020-02-19,1,瑞典
2020-02-19,35,泰国
2020-02-19,9,阿联酋
2020-02-19,9,英国
2020-02-19,15,美国
2020-02-19,16,越南
2020-02-20,15,澳大利亚
2020-02-20,1,比利时
2020-02-20,1,柬埔寨
2020-02-20,8,加拿大
2020-02-20,1,埃及
2020-02-20,1,芬兰
2020-02-20,12,法国
2020-02-20,15,德国
2020-02-20,3,印度
2020-02-20,2,伊朗
2020-02-20,3,意大利
2020-02-20,84,日本
2020-02-20,22,马来西亚
